city,cloudiness,country,humidity,lat,lng,max temp,wind speed
skjervoy,56,no,100,70.03,20.97,26.99,5.99
joshimath,20,in,100,30.57,79.57,0.12,0.74
barrow,0,us,41,-38.31,-60.23,80.09,13.15
pacific grove,1,us,57,36.62,-121.92,61.32,2.75
smithers,90,ca,85,54.78,-127.17,24.8,2.24
kandrian,80,pg,96,-6.21,149.55,77.75,3.76
richards bay,100,za,82,-28.77,32.06,69.42,16.84
ahipara,92,nz,90,-35.17,173.16,69.2,10.36
rypefjord,8,no,57,70.63,23.67,23.0,14.99
vieira de leiria,75,pt,93,39.87,-8.94,57.2,8.05
sao filipe,0,cv,93,14.9,-24.5,72.44,17.85
bridlington,75,gb,86,54.08,-0.19,37.4,3.36
labuhan,32,id,97,-2.54,115.51,73.29,1.3
marathon,20,us,48,48.72,-86.38,-7.61,8.05
jalu,88,ly,33,29.03,21.55,54.08,3.76
hami,64,cn,65,42.84,93.51,14.12,2.42
aykhal,68,ru,42,65.95,111.51,-15.0,4.43
kruisfontein,0,za,84,-34.0,24.73,62.63,8.01
neuquen,0,ar,20,-38.95,-68.06,93.2,12.75
gwadar,88,pk,100,25.12,62.33,67.49,4.76
agadez,0,ne,28,16.97,7.99,67.67,10.69
salalah,0,om,69,17.01,54.1,75.2,4.7
qasigiannguit,90,gl,78,68.82,-51.19,8.6,10.29
teknaf,0,bd,89,20.86,92.31,57.99,5.21
port augusta,92,au,68,-32.49,137.76,69.8,14.99
boone,90,us,100,36.22,-81.67,43.23,1.86
ternate,75,id,74,14.29,120.72,78.8,14.72
cabo san lucas,5,mx,44,22.89,-109.91,80.76,4.7
koeru,80,ee,91,58.97,26.03,27.75,14.72
vanavara,68,ru,82,60.35,102.28,15.56,8.68
berlevag,75,no,49,70.86,29.09,26.6,18.34
saint-georges,68,gf,44,46.12,-70.67,-0.78,3.2
mecca,0,sa,89,21.43,39.83,57.68,2.98
saldanha,92,za,97,41.42,-6.55,44.49,8.68
marsa matruh,0,eg,81,31.35,27.25,51.8,3.76
narrabri,40,au,42,-30.33,149.78,84.2,12.75
port-gentil,20,ga,79,-0.72,8.78,84.2,9.17
geraldton,75,au,57,49.72,-86.95,-13.01,5.82
tabas,0,ir,68,33.6,56.92,25.64,2.75
sabae,75,jp,100,35.95,136.19,48.2,9.17
teacapan,0,mx,29,22.54,-105.74,86.7,2.86
viedma,0,ar,17,-40.81,-62.99,91.16,18.86
kirakira,92,sb,100,-10.46,161.92,83.06,5.77
jalingo,0,ng,60,10.21,12.82,65.69,1.63
haines junction,36,ca,84,60.75,-137.51,-8.21,2.64
zhmerynka,0,ua,85,49.04,28.11,19.4,4.47
shaoyang,92,cn,100,27.23,111.45,41.52,7.9
lebu,0,cl,79,8.96,38.73,42.87,3.65
ravar,0,ir,43,31.27,56.81,34.95,4.21
hasaki,40,jp,86,35.73,140.83,29.1,1.12
mar del plata,0,ar,21,-46.43,-67.52,89.99,21.43
nimaparha,0,in,100,20.07,86.02,60.8,1.12
guerrero negro,0,mx,36,27.97,-114.04,78.92,8.68
fort nelson,90,ca,76,58.81,-122.69,-4.01,3.76
vedeno,0,ru,74,42.97,46.1,28.4,2.53
mogok,0,mm,87,22.92,96.51,44.9,1.74
zhezkazgan,92,kz,97,47.8,67.71,31.49,8.12
mnogovershinnyy,12,ru,42,53.94,139.92,-14.24,2.64
bani walid,0,ly,80,31.76,14.0,37.65,3.09
leningradskiy,56,ru,95,69.38,178.42,-7.8,21.77
kahului,40,us,79,20.89,-156.47,71.4,12.75
vao,0,nc,83,59.1,26.19,27.17,14.5
lakeside,1,us,40,32.86,-116.92,70.05,3.98
zarya,88,ru,100,45.67,39.64,37.92,8.23
macapa,40,br,74,0.05,-51.07,84.2,12.75
ekhabi,0,ru,82,53.51,142.97,-1.73,17.74
gamba,0,ga,47,28.28,88.52,-14.24,1.97
buraydah,0,sa,66,26.33,43.97,51.8,6.93
birao,0,cf,31,10.3,22.78,69.38,9.69
port blair,32,in,100,11.67,92.75,81.3,15.28
severnoye,92,ru,93,54.09,52.54,23.34,9.13
volot,56,ru,84,57.93,30.71,22.17,8.01
inhambane,75,mz,94,-23.87,35.38,78.8,21.92
saint george,40,bm,93,39.45,22.34,44.24,4.7
vestmannaeyjar,68,is,100,63.44,-20.27,37.52,12.26
gat,0,ly,43,14.69,-16.54,71.6,11.41
fatehpur,80,in,80,31.18,71.21,49.67,2.75
bay-ang,48,ph,100,12.01,124.98,74.64,16.62
miri,0,my,56,10.31,9.75,62.67,2.98
tongzi,92,cn,92,28.78,105.09,41.39,2.98
chandur,0,in,73,20.82,77.97,53.04,2.19
mount gambier,32,au,93,-37.83,140.78,51.8,4.7
muisne,76,ec,94,0.61,-80.02,77.75,5.99
kushiro,24,jp,55,43.11,144.15,6.47,1.97
doha,0,kw,54,25.29,51.53,57.99,11.41
arman,80,ru,71,59.7,150.17,-11.27,3.42
betong,12,th,89,5.77,101.07,72.44,4.21
lazaro cardenas,5,mx,25,28.39,-105.62,53.6,4.7
sitka,0,us,66,37.17,-99.65,30.0,16.06
huadian,8,cn,56,42.97,126.75,-6.18,5.44
fairbanks,90,us,84,64.84,-147.72,-0.58,3.09
kasongo-lunda,64,cd,95,-6.48,16.82,71.45,1.63
aksay,40,kz,90,47.27,39.86,33.8,6.71
hecelchakan,20,mx,52,20.17,-90.13,87.8,11.41
kautokeino,20,no,49,69.01,23.04,-3.98,5.66
simao,76,cn,85,22.76,100.79,47.37,2.08
pindi gheb,48,pk,85,33.24,72.27,39.95,2.98
barao de melgaco,75,br,55,-16.19,-55.97,87.8,5.82
bilibino,0,ru,0,68.06,166.44,-41.87,2.3
eydhafushi,8,mv,100,5.1,73.07,79.59,6.11
karaton,20,kz,83,-6.34,106.1,78.8,4.7
ponta delgada,20,pt,77,37.73,-25.67,59.0,11.41
roald,75,no,100,62.58,6.12,28.87,8.05
sorong,76,id,100,-0.86,131.25,81.53,5.44
sungairaya,92,id,100,0.7,108.9,75.0,2.53
hambantota,36,lk,100,6.12,81.12,75.95,8.68
delijan,0,ir,74,33.99,50.69,15.47,2.64
bloemfontein,0,za,8,-29.12,26.22,73.4,11.41
fortuna,0,us,71,38.18,-1.13,52.7,2.24
talnakh,68,ru,87,69.49,88.39,9.57,11.7
vardo,90,no,81,39.62,-77.74,36.52,4.7
mora,0,cm,62,61.01,14.54,23.0,8.05
kanniyakumari,0,in,100,8.08,77.57,78.92,22.32
sarkand,0,kz,56,45.41,79.91,1.74,1.74
dargaville,68,nz,85,-35.94,173.86,70.91,14.16
bongandanga,12,cd,83,1.51,21.07,76.58,1.97
katangli,0,ru,100,51.71,143.23,0.3,15.05
policoro,5,it,76,40.21,16.68,46.65,6.93
udachnyy,20,ru,62,66.42,112.4,-14.42,3.65
linfen,0,cn,69,36.09,111.52,12.32,3.31
kagadi,36,ug,84,0.95,30.8,77.97,2.42
zhigansk,68,ru,46,66.77,123.37,-28.68,11.81
sinnamary,88,gf,95,5.38,-52.96,79.59,11.25
jinka,0,et,62,5.79,36.57,62.09,1.52
vidim,0,ru,85,50.47,14.53,24.01,4.7
yarada,0,in,88,17.65,83.27,66.2,2.24
biaora,0,in,74,23.92,76.91,47.51,2.75
shunyi,0,cn,39,40.13,116.65,32.0,17.9
yara,36,cu,64,20.27,-76.95,82.2,7.0
medak,0,in,91,18.05,78.27,57.27,2.98
saint-pierre,90,pm,82,48.95,4.24,33.22,11.41
thompson,5,ca,67,55.74,-97.86,-27.41,5.82
pangnirtung,20,ca,67,66.15,-65.72,-25.61,2.24
nenjiang,0,cn,66,49.17,125.23,-9.51,7.67
ketchikan,90,us,82,55.34,-131.65,43.11,9.17
grand gaube,40,mu,78,-20.01,57.66,80.6,3.36
tunceli,0,tr,92,39.11,39.55,21.04,2.24
kartaly,80,ru,80,53.05,60.64,13.22,5.55
nanortalik,80,gl,93,60.14,-45.24,27.12,21.09
broome,0,au,92,52.47,1.45,34.84,4.7
lowicz,48,pl,92,52.11,19.95,24.21,1.12
porto belo,75,br,94,-27.15,-48.54,77.7,11.41
lagoa,75,pt,100,37.14,-8.45,59.0,21.92
buchanan,40,lr,88,5.88,-10.05,80.6,4.43
iwanai,88,jp,100,42.97,140.51,31.44,10.13
paamiut,88,gl,100,61.99,-49.67,30.27,38.65
inongo,36,cd,91,-1.93,18.29,75.99,2.42
ron phibun,0,th,94,8.18,99.85,68.7,2.53
kisangani,0,cd,88,0.52,25.21,76.31,2.64
ayan,56,ru,89,40.67,33.6,17.63,1.52
severo-kurilsk,24,ru,100,50.68,156.12,29.42,14.5
paso de los toros,8,uy,77,-32.81,-56.52,73.02,13.82
zeya,0,ru,59,53.74,127.27,-21.62,2.19
ocho rios,20,jm,51,18.41,-77.1,84.2,16.11
mlowo,44,tz,96,-9.01,33.0,62.63,2.42
sidney,75,us,67,47.72,-104.16,12.33,8.05
santa cruz,1,cr,59,36.97,-122.03,61.47,2.42
zelenoborskiy,68,ru,73,66.84,32.36,3.27,4.76
havre-saint-pierre,20,ca,48,50.23,-63.6,-7.61,14.99
twentynine palms,20,us,51,34.14,-116.05,66.07,3.76
tomatlan,64,mx,54,19.93,-105.25,83.42,3.98
san quintin,0,mx,83,17.54,120.52,61.55,2.75
vikhorevka,88,ru,52,56.12,101.17,19.4,8.95
manokwari,44,id,100,-0.87,134.08,80.94,3.76
bilma,0,ne,38,18.69,12.92,55.88,7.23
ajdabiya,92,ly,50,30.75,20.22,63.75,16.84
bubaque,0,gw,88,11.28,-15.83,81.39,14.27
bara,8,sd,45,10.41,10.6,67.17,4.43
beisfjord,48,no,85,68.38,17.6,17.6,8.05
katiola,20,ci,61,8.14,-5.1,82.4,4.7
narsaq,75,gl,79,60.91,-46.05,19.4,4.7
abu kamal,0,sy,71,34.45,40.92,30.0,7.9
alekseyevsk,76,ru,64,57.84,108.35,16.37,11.03
nome,90,us,58,30.04,-94.42,46.87,26.4
clyde river,20,ca,74,70.47,-68.59,-23.81,2.24
codrington,90,ag,94,-28.95,153.24,70.29,2.86
sao joaquim,92,br,99,-28.29,-49.93,64.97,7.23
college,90,us,84,64.86,-147.8,-0.13,3.09
namanyere,68,tz,98,-7.51,31.05,60.38,1.97
samarai,92,pg,100,-10.62,150.67,76.94,5.1
kodiak,1,us,40,39.95,-94.76,15.42,18.34
hofn,92,is,100,64.25,-15.21,38.96,15.73
makakilo city,1,us,68,21.35,-158.09,75.31,5.82
dicabisagan,92,ph,100,17.08,122.42,72.98,10.02
pozo colorado,0,py,70,-23.49,-58.8,79.77,11.36
hun,0,ly,80,50.34,4.87,30.2,4.7
red bluff,90,us,92,40.18,-122.24,50.0,4.7
athabasca,92,ca,84,54.72,-113.29,3.9,15.5
kaitangata,44,nz,72,-46.28,169.85,53.85,29.93
batagay,20,ru,0,67.65,134.64,-64.95,2.75
jaromerice nad rokytnou,75,cz,86,49.09,15.89,25.68,6.93
araouane,0,ml,21,18.9,-3.53,55.92,10.02
biak,56,id,100,-0.91,122.88,77.07,3.87
murray,90,us,71,40.67,-111.89,35.24,12.75
coahuayana,36,mx,33,18.62,-100.35,82.65,2.98
banda aceh,24,id,91,5.56,95.32,75.68,5.1
kavaratti,0,in,100,10.57,72.64,81.35,1.19
mikkeli,88,fi,89,61.69,27.27,19.29,6.67
olga,1,ru,34,34.11,-118.17,69.3,2.98
baherden,88,tm,70,38.44,57.43,37.79,8.79
ajaccio,75,fr,81,41.93,8.74,43.66,4.7
sherpur,0,bd,84,25.02,90.01,51.6,2.53
yantal,80,ru,67,56.85,105.25,18.39,9.8
varkkallai,20,in,78,8.73,76.71,78.8,2.24
lingyuan,0,cn,39,41.24,119.4,9.8,10.47
terrak,48,no,92,65.09,12.37,30.2,12.75
tromso,75,no,92,69.65,18.96,11.35,2.24
cidreira,100,br,91,-30.17,-50.22,71.94,15.5
dubovka,90,ru,100,49.06,44.83,33.8,11.18
sar-e pul,88,af,94,36.22,65.93,32.57,2.19
kodinsk,76,ru,76,58.6,99.18,20.42,8.79
ust-maya,44,ru,88,60.42,134.54,-40.52,2.42
ambilobe,92,mg,98,-13.19,49.05,74.19,5.77
russell,0,nz,42,-33.01,-68.8,86.0,12.75
kristianstad,32,se,100,56.03,14.16,33.8,9.17
nehe,8,cn,60,48.48,124.88,-7.13,7.11
kavieng,92,pg,100,-2.57,150.8,79.28,14.83
baruun-urt,0,mn,64,46.68,113.28,-2.18,14.5
bartica,40,gy,62,6.41,-58.62,87.8,16.11
scarborough,76,gb,86,54.28,-0.41,37.4,3.36
nago,40,jp,74,45.88,10.89,36.95,3.36
bull savanna,88,jm,70,17.89,-77.59,78.02,8.12
alice springs,8,au,39,-23.7,133.88,80.6,7.9
loutros,20,gr,86,40.59,22.4,41.0,2.24
xuddur,0,so,47,4.12,43.89,70.73,9.35
aran,20,az,100,46.5,6.71,29.12,3.98
egvekinot,12,ru,47,66.32,-179.17,-29.81,2.42
nuuk,90,gl,92,64.17,-51.74,23.0,9.17
mpongwe,80,zm,95,-13.51,28.16,64.52,3.76
denpasar,40,id,88,-8.65,115.22,78.8,4.7
havelock,90,us,79,34.88,-76.9,55.47,5.82
cedral,0,mx,67,23.82,-100.72,59.52,10.8
xining,80,cn,86,36.62,101.77,3.77,2.64
komsomolskiy,68,ru,82,67.55,63.78,14.52,9.13
nishihara,0,jp,55,35.74,139.53,35.71,4.7
soyo,40,ao,79,-6.13,12.37,84.2,6.93
whyalla,100,au,68,-33.04,137.58,69.8,14.99
sol-iletsk,88,ru,92,51.16,55.0,15.02,3.76
caravelas,0,br,100,-17.73,-39.27,80.94,18.07
pratapgarh,0,in,84,25.92,82.0,50.75,2.75
basco,90,ph,82,40.33,-91.2,21.29,24.16
evensk,80,ru,100,61.92,159.24,12.27,20.76
linxia,76,cn,75,35.6,103.21,-0.74,2.42
sibu,48,my,100,2.29,111.83,74.19,2.98
solnechnyy,56,ru,72,50.72,136.64,-10.91,2.64
seoul,75,kr,59,37.57,126.98,33.28,3.36
chuy,24,uy,84,-33.69,-53.46,69.87,17.07
morondava,12,mg,98,-20.3,44.28,81.08,3.76
hangu,75,cn,58,33.53,71.06,57.2,4.7
calamar,64,co,92,1.96,-72.65,76.44,2.3
abu dhabi,20,ae,59,24.47,54.37,64.4,13.87
sidi ali,88,dz,96,36.1,0.42,49.4,4.65
port said,12,eg,68,25.34,30.55,43.37,5.44
novoagansk,88,ru,85,61.94,76.66,20.64,6.22
